name,id,classification,mass,year,latitude,longitude
Bath,4974,H4,21000.0,1892.0,45.41667,-98.31667
Bath Furnace,4975,L6,86000.0,1902.0,38.25,-83.75
Battle Mountain,56133,L6,2900.0,2012.0,40.66813,-117.18913
Bawku,4976,LL5,1557.0,1989.0,11.08333,-0.18333
Baxter,4977,L6,611.0,1916.0,36.75,-93.5
Beardsley,4984,H5,16000.0,1929.0,39.8,-101.2
Beaver Creek,4986,H5,14000.0,1893.0,51.16667,-117.33333
Beddgelert,4993,H5,794.0,1949.0,53.01667,-4.1
Bells,5005,C2-ung,375.0,1961.0,33.6,-96.46667
Benares (a),5011,LL4,3700.0,1798.0,25.366670000000003,82.91667
Benguerir,30443,LL6,25000.0,2004.0,32.25,-8.15
Beni M'hira,5018,L6,19000.0,2001.0,32.86667,10.8
Benld,5021,H6,1770.5,1938.0,39.08333,-89.15
Benoni,5023,H6,3880.0,1943.0,-26.16667,28.41667
Bensour,5024,LL6,45000.0,2002.0,30.0,-7.0
Benton,5026,LL6,2840.0,1949.0,45.95,-67.55
Berduc,48975,L6,270.0,2008.0,-31.91,-58.32833
Béréba,5028,Eucrite-mmict,18000.0,1924.0,11.65,-3.65
Berlanguillas,5029,L6,1440.0,1811.0,41.68333,-3.8
Berthoud,47355,Eucrite-mmict,960.0,2004.0,40.30583,-105.02325
Beuste,5034,L5,2000.0,1859.0,43.21667,-0.23333
Beyrout,5035,LL3.8,1100.0,1921.0,33.88333,35.5
Bhawad,36591,LL6,678.0,2002.0,26.508329999999997,73.11528
Bherai,5039,L6,100.0,1893.0,20.83333,71.46667
Bhola,5040,LL3-6,1047.0,1940.0,22.683329999999998,90.65
Bholghati,5041,Howardite,2500.0,1905.0,22.08333,86.9
Bialystok,5042,Eucrite-pmict,4000.0,1827.0,53.1,23.2
Bielokrynitschie,5043,H4,1900.0,1887.0,50.13333,27.16667
Bilanga,5045,Diogenite,25000.0,1999.0,12.45,-0.08333
Binningup,5051,H5,488.1,1984.0,-33.15639,115.67638999999998
Birni N'konni,5056,H4,560.0,1923.0,13.766670000000001,5.3
Bishopville,5059,Aubrite,6000.0,1843.0,34.16667,-80.28333
Bishunpur,5060,LL3.15,1039.0,1895.0,25.383329999999997,82.6
Bjelaja Zerkov,5063,H6,1850.0,1796.0,49.78333,30.16667
Bjurböle,5064,L/LL4,330000.0,1899.0,60.4,25.8
Black Moshannan Park,5065,L5,705.0,1941.0,40.91667,-78.08333
Blackwell,5068,L5,2381.0,1906.0,36.83333,-97.33333
Blanket,5071,L6,5100.0,1909.0,31.83333,-98.83333
Blansko,5072,H6,470.0,1833.0,49.36667,16.633329999999997
Bo Xian,5090,LL3.9,7500.0,1977.0,33.83333,115.83333
Bogou,5097,"Iron, IAB-MG",8800.0,1962.0,12.5,0.7
Boguslavka,5098,"Iron, IIAB",256000.0,1916.0,44.55,131.63333
Borgo San Donino,5110,LL6,1676.0,1808.0,44.86667,10.05
Bori,5111,L6,8600.0,1894.0,21.95,78.03333
Boriskino,5112,CM2,1342.0,1930.0,54.23333,52.48333
Borkut,5113,L5,7000.0,1852.0,48.15,24.28333
Borodino,5114,H5,500.0,1812.0,55.46666999999999,35.86667
Botschetschki,5117,L4,614.0,1823.0,51.33333,33.88333
Boumdeid (2003),57168,L6,190.0,2003.0,17.71067,-11.3715
Boumdeid (2011),57167,L6,3599.0,2011.0,17.17493,-11.341330000000001
Bovedy,5121,L3,5460.0,1969.0,54.566669999999995,-6.33333
Bradford Woods,5128,L,762.0,1886.0,40.5,-80.08333
Braunau,5133,"Iron, IIAB",39000.0,1847.0,50.6,16.3
Breitscheid,5134,H5,1500.0,1956.0,50.666940000000004,8.18361
Bremervörde,5135,H/L3.9,7250.0,1855.0,53.4,9.1
Brient,5140,Eucrite-pmict,219.0,1933.0,52.13333,59.316669999999995
Bruderheim,5156,L6,303000.0,1960.0,53.9,-112.88333
Bukhara,30448,CV3,5300.0,2001.0,39.77978,64.60035
Bunburra Rockhole,48653,Eucrite,324.0,2007.0,-31.35,129.19
Bununu,5165,Howardite,357.0,1942.0,10.01667,9.58333
Bur-Gheluai,5169,H5,120000.0,1919.0,5.0,48.0
Burnwell,5175,H4-an,1504.0,1990.0,37.62194,-82.23722
Bursa,5177,L6,25000.0,1946.0,40.2,29.23333
Buschhof,5178,L6,5000.0,1863.0,46.45,25.78333
Bustee,5181,Aubrite,1500.0,1852.0,26.78333,82.83333
Butsura,5183,H6,29000.0,1861.0,27.08333,84.08333
Buzzard Coulee,48654,H4,41000.0,2008.0,52.996,-109.84817
Cabezo de Mayo,5185,L/LL6,25000.0,1870.0,37.98333,-1.16667
Cabin Creek,5186,"Iron, IIIAB",48500.0,1886.0,35.5,-93.5
Cacak,5187,OC,212.0,1919.0,43.83889,20.33333
Cali,45976,H/L4,478.0,2007.0,3.405,-76.51
Calivo,5200,Stone-uncl,2400.0,1916.0,11.75,122.33333
Campos Sales,5249,L5,23680.0,1991.0,-7.03333,-40.16667
Çanakkale,5250,L6,4000.0,1964.0,39.8,26.6
Cañellas,5251,H4,945.0,1861.0,41.25,1.66667
Cangas de Onis,5252,H5,34000.0,1866.0,43.38333,-5.15
Canon City,5253,H6,1400.0,1973.0,38.470279999999995,-105.24139
Cape Girardeau,5260,H6,2300.0,1846.0,37.26667,-89.58333
Capilla del Monte,5264,H6,750.0,1934.0,-30.883329999999997,-64.55
Carancas,45817,H4-5,342.0,2007.0,-16.66444,-69.04389
Castalia,5291,H5,7300.0,1874.0,36.08333,-78.06667
Castrovillari,5295,Stone-uncl,15000.0,1583.0,39.8,16.2
Caswell County,5296,OC,1360.0,1810.0,36.5,-79.25
Ceniceros,5306,L3.7,1025.0,1988.0,26.46667,-105.23333000000001
Cereseto,5308,H5,6460.0,1840.0,45.08333,8.3
Chadong,5313,L6,3700.0,1998.0,28.53333,109.31667
Chainpur,5315,LL3.4,8200.0,1907.0,25.85,83.48333000000001
Chajari,5316,L5,18300.0,1933.0,-30.78333,-58.05
Chandakapur,5320,L5,8800.0,1838.0,20.26667,76.01666999999999
Chandpur,5321,L6,1100.0,1885.0,27.28333,79.05
Changde,5322,H5,1810.0,1977.0,29.08333,111.75
Chantonnay,5325,L6,31500.0,1812.0,46.68333,1.05
Charlotte,5328,"Iron, IVA",4300.0,1835.0,36.16667,-87.33333
Charsonville,5329,H6,27000.0,1810.0,47.93333,1.56667
Charwallas,5330,H6,12000.0,1834.0,29.48333,75.5
Chassigny,5331,Martian (chassignite),4000.0,1815.0,47.71667,5.36667
Château-Renard,5332,L6,30000.0,1841.0,47.93333,2.91667
Chaves,5334,Howardite,2945.0,1925.0,41.93333,-7.46667
Chela,5338,H4,2936.0,1988.0,-3.66667,32.5
Chelyabinsk,57165,LL5,100000.0,2013.0,54.816669999999995,61.11666999999999
Chergach ,47347,H5,100000.0,2007.0,23.69639,-5.01472
Chernyi Bor,5339,H4,6000.0,1964.0,53.7,30.1
Cherokee Springs,5340,LL6,8400.0,1933.0,35.03333,-81.88333
Chervettaz,5341,L5,705.0,1901.0,46.55,6.816669999999999
Chervony Kut,5342,Eucrite-mmict,1700.0,1939.0,50.83333,34.0
Chiang Khan,5345,H6,367.0,1981.0,17.9,101.63333
Chicora,5349,LL6,303.0,1938.0,40.93333,-79.73333000000001
Chisenga,5355,"Iron, IIIAB",3920.0,1988.0,-10.059439999999999,33.395
Chitenay,5357,L6,4000.0,1978.0,47.47083,0.97667
Cilimus,5364,L5,1600.0,1979.0,-6.95,108.1
Claxton,5374,L6,1455.0,1984.0,32.1025,-81.87278
Colby (Wisconsin),5395,L6,104000.0,1917.0,44.9,-90.28333
Cold Bokkeveld,5397,CM2,5200.0,1838.0,-33.13333,19.383329999999997
Coleman,5401,L6,469.0,1994.0,43.761109999999995,-84.50778000000001
Collescipoli,5403,H5,5000.0,1890.0,42.53333,12.61667
Conquista,5418,H4,20350.0,1965.0,-19.85,-47.55
Cosina,5451,H5,1200.0,1844.0,21.16667,-100.86667
Cranganore,5465,L6,1460.0,1917.0,10.2,76.26666999999999
Cronstad,5474,H5,3650.0,1877.0,-27.7,27.3
Cross Roads,5476,H5,167.0,1892.0,35.63333,-78.13333
Crumlin,5477,L5,4255.0,1902.0,54.61666999999999,-6.21667
Cumberland Falls,5496,Aubrite,17000.0,1919.0,36.83333,-84.35
Cynthiana,5500,L/LL4,6000.0,1877.0,38.4,-84.25
Dahmani,5504,LL6,18000.0,1981.0,35.61667,8.83333
Dandapur,5511,L6,5650.0,1878.0,26.91667,83.96667
Daniel's Kuil,5513,EL6,1064.0,1868.0,-28.2,24.566670000000002
Danville,5514,L6,2000.0,1868.0,34.4,-87.06667
Darmstadt,6603,H5,100.0,1804.0,49.86667,8.65
Dashoguz,6604,H5,7000.0,1998.0,41.98444,59.685
Daule,51559,L5,6580.0,2008.0,-1.8708900000000002,-79.95756
De Cewsville,6621,H6,340.0,1887.0,43.0,-80.0
Demina,6649,L6,16400.0,1911.0,51.46667,84.76666999999999
Denver,6660,L6,230.0,1967.0,39.7825,-104.93056000000001
Dergaon,6664,H5,12500.0,2001.0,26.683329999999998,93.86667
Desuri,6693,H6,25400.0,1962.0,25.73333,73.61667
Devgaon,6694,H3.8,12000.0,2001.0,19.0,81.0
Devri-Khera,6696,L6,1140.0,1994.0,24.225,76.525
Dhajala,6698,H3.8,45000.0,1976.0,22.377779999999998,71.42721999999999
Dharwar,6699,OC,1800.0,1848.0,14.883329999999999,75.6
Dhurmsala,7640,LL6,32000.0,1860.0,32.23333,76.46667
Didim,47350,H3-5,3396.0,2007.0,37.35172,27.32997
Diep River,7642,L6,1000.0,1906.0,-33.75,18.566670000000002
Distrito Quebracho,7649,H4,400.0,1957.0,-31.883329999999997,-60.46666999999999
Djati-Pengilon,7652,H6,166000.0,1884.0,-7.5,111.5
Djermaia,7656,H,3950.0,1961.0,12.73333,15.05
Djoumine,7657,H5-6,10000.0,1999.0,36.95,9.55
Dokachi,7658,H5,3840.0,1903.0,23.5,90.33333
Dolgovoli,7659,L6,1600.0,1864.0,50.75,25.3
Domanitch,7661,L5,438.0,1907.0,40.0,29.0
Dong Ujimqin Qi,7706,Mesosiderite,128800.0,1995.0,45.5,119.03333
Donga Kohrod,7707,H6,230.0,1899.0,21.866670000000003,82.45
Dongtai,7708,LL6,5500.0,1970.0,32.91667,120.78333
Doroninsk,7718,H5-7,3891.0,1805.0,51.2,112.3
Dosso,7722,L6,1250.0,1962.0,13.05,3.16667
Douar Mghila,7723,LL6,1161.0,1932.0,32.33333,-6.3
Dowa,7725,Stone-uncl,642.0,1976.0,-13.666670000000002,33.91667
Drake Creek,7728,L6,5000.0,1827.0,36.4,-86.5
Dresden (Ontario),7731,H6,47700.0,1939.0,42.52,-82.26
Dubrovnik,7736,L3-6,1900.0,1951.0,42.45833,18.441670000000002
Dundrum,7745,H5,2270.0,1865.0,52.55,-8.03333
Durala,7750,L6,13200.0,1815.0,30.3,76.63333
Duruma,7752,L6,577.0,1853.0,-4.0,39.5
Duwun,7754,L6,2117.0,1943.0,33.43333,127.26666999999999
Dwaleni,7755,H4-6,3230.0,1970.0,-27.2,31.316670000000002
Dyalpur,7757,Ureilite,300.0,1872.0,26.25,82.0
Dyarrl Island,7758,Mesosiderite-A1,188.0,1933.0,-3.0,151.0
Eagle,7760,EL6,10000.0,1947.0,40.78167,-96.47166999999999
Ehole,7774,H5,2400.0,1961.0,-17.3,15.833329999999998
Eichstädt,7775,H5,3000.0,1785.0,48.9,11.21667
Ekeby,7776,H4,3336.0,1939.0,56.03333000000001,13.0
Ekh Khera,7777,H6,840.0,1916.0,28.26667,78.78333
El Idrissia,7807,L6,10000.0,1989.0,34.41667,3.25
El Paso de Aguila,45977,H5,17226.0,1977.0,25.37,-97.37
El Tigre,7819,L6,5000.0,1993.0,19.96722,-103.05167
Elbert,7822,LL6,680.5,1998.0,39.24667,-104.58816999999999
Elbogen,7823,"Iron, IID",107000.0,1399.0,50.18333,12.73333
Elenovka,7824,L5,54640.0,1951.0,47.83333,37.66667
Ellemeet,10019,Diogenite,1470.0,1925.0,51.75,4.0
Emmaville,10033,Eucrite-mmict,127.0,1900.0,-29.46667,151.61667
Enshi,10038,H5,8000.0,1974.0,30.3,109.5
Ensisheim,10039,LL6,127000.0,1491.0,47.86667,7.35
Épinal,10041,H5,277.0,1822.0,48.18333,6.46667
Erakot,10042,CM2,113.0,1940.0,19.03333,81.89166999999999
Erevan,10043,Howardite,107.2,1911.0,40.3,44.5
Ergheo,10044,L5,20000.0,1889.0,1.16667,44.16667
Erxleben,10049,H6,2250.0,1812.0,52.21667,11.25
Esnandes,10051,L6,1500.0,1837.0,46.25,-1.1
Essebi,10055,C2-ung,500.0,1957.0,2.88333,30.83333
Estherville,10059,Mesosiderite-A3/4,320000.0,1879.0,43.41667,-94.83333
Farmington,10074,L5,89400.0,1890.0,39.75,-97.03333
Farmville,10075,H4,56000.0,1934.0,35.55,-77.53333
Favars,10078,H5,1500.0,1844.0,44.38333,2.8166700000000002
Fayetteville,10079,H4,2360.0,1934.0,36.05,-94.16667
Feid Chair,10080,H4,380.0,1875.0,36.88333,8.45
Felix,10081,CO3.3,3200.0,1900.0,32.53333,-87.16667
Ferguson,10088,OC,220.0,1889.0,36.1,-81.41667
Fermo,10091,H3-5,10200.0,1996.0,43.18111,13.753329999999998
Fisher,10107,L6,17600.0,1894.0,47.81667,-96.85
Florence,10111,H3,3640.0,1922.0,30.83333,-97.76666999999999
Forest City,10119,H5,152000.0,1890.0,43.25,-93.66667
Forest Vale,10120,H4,26000.0,1942.0,-33.35,146.85833
Forksville,10123,L6,6067.0,1924.0,36.78333,-78.08333
Forsbach,10163,H6,240.0,1900.0,50.95,7.316669999999999
Forsyth,10164,L6,16300.0,1829.0,33.01667,-83.96667
Frankfort (stone),10177,Howardite,650.0,1868.0,34.48333,-87.83333
Fuhe,52412,L5,23000.0,1945.0,31.475559999999998,113.56693999999999
Fukutomi,10836,L5,11620.0,1882.0,33.18333,130.2
Futtehpur,10839,L6,4000.0,1822.0,25.95,80.81667
Fuyang,10840,Stone-uncl,2500.0,1977.0,32.9,115.9
Galapian,10846,H6,132.7,1826.0,44.3,0.4
Galkiv,10850,H4,5000.0,1995.0,51.68333,30.78333
Gambat,10851,L6,6400.0,1897.0,27.35,68.53333
Garhi Yasin,10860,"Iron, IIE",380.0,1917.0,27.883329999999997,68.53333
Garland,10861,Diogenite-pm,102.0,1950.0,41.68333,-112.13333
Gashua,44882,L6,4162.0,1984.0,12.85,11.03333
Geidam,10870,H5,725.0,1950.0,12.91667,11.91667
Gifu,10914,L6,14290.0,1909.0,35.53333,136.88333
Girgenti,10917,L6,18000.0,1853.0,37.31667,13.566670000000002
Git-Git,10919,L6,480.0,1947.0,9.6,9.91667
Glanerbrug,10923,L/LL5,670.0,1990.0,52.2,6.86667
Glanggang,10924,H5-6,1303.0,1939.0,-7.25,107.7
Glasatovo,10926,H4,152000.0,1918.0,57.35,37.61667
Glatton,10930,L6,767.0,1991.0,52.45972,-0.3
Gnadenfrei,10936,H5,1750.0,1879.0,50.66667,16.76667
Gopalpur,10948,H6,1600.0,1865.0,24.23333,89.05
Gorlovka,10949,H3.7,3618.0,1974.0,48.28333,38.08333
Granes,10956,L6,9000.0,1964.0,42.9,2.25
Grimsby,50911,H5,215.0,2009.0,43.2,-79.61667
Grosnaja,11206,CV3,3500.0,1861.0,43.66667,45.38333
Gross-Divina,11207,H5,10500.0,1837.0,49.26667,18.71667
Grossliebenthal,11208,L6,8000.0,1881.0,46.35,30.58333
Grüneberg,11426,H4,1000.0,1841.0,51.93333,15.5
Grzempach,11429,H5,690.0,1910.0,52.86666999999999,16.633329999999997
Gualeguaychú,11432,H6,22000.0,1932.0,-33.0,-58.61666999999999
Guangmingshan,11435,H5,2910.0,1996.0,39.80417,122.76388999999999
Guangrao,11437,L6,1900.0,1980.0,37.1,118.4
Guareña,11439,H6,39000.0,1892.0,38.73333,-6.0166699999999995
Guêa,11440,Stone-uncl,1915.0,1891.0,43.76667,20.23333
Guibga,11442,L5,288.0,1972.0,13.5,-0.68333
Guidder,11443,LL5,968.0,1949.0,9.91667,13.983329999999999
Gujargaon,11448,H5,2449.0,1982.0,22.98333,76.05
Gujba,11449,CBa,100000.0,1984.0,11.49167,11.65833
Gumoschnik,11450,H5,5700.0,1904.0,42.9,24.7
Gursum,11465,H4/5,34650.0,1981.0,9.36667,42.41667
Gütersloh,11466,H3/4,1000.0,1851.0,51.91667,8.38333
Gyokukei,11467,OC,1320.0,1930.0,35.0,127.5
Hainaut,11472,H3-6,9000.0,1934.0,50.31667,3.7333300000000005
Hallingeberg,11479,L3.4,1456.0,1944.0,57.816669999999995,16.23333
Hamlet,11485,LL4,3710.0,1959.0,41.38333,-86.6
Haraiya,11824,Eucrite-mmict,1000.0,1878.0,26.8,82.53333
Haripura,11829,CM2,315.0,1921.0,28.383329999999997,75.78333
Harleton,11830,L6,8360.0,1961.0,32.675,-94.51167
Harrison County,11842,L6,680.0,1859.0,38.25,-86.16667
Hashima,11848,H4,1110.6,1910.0,35.2945,136.70033
Hassi-Jekna,11852,"Iron, IAB-sHL",1250.0,1890.0,28.95,0.81667
Hatford,11855,Stone-uncl,29000.0,1628.0,51.65,-1.51667
Haverö,11859,Ureilite,1544.0,1971.0,60.24556,22.06194
Hedeskoga,11869,H5,3500.0,1922.0,55.46666999999999,13.78333
Hedjaz,11870,L3.7-6,6100.0,1910.0,27.33333,35.66667
Heredia,11875,H5,1000.0,1857.0,10.0,-84.1
Hessle,11878,H5,20000.0,1869.0,59.85,17.66667
Higashi-koen,11883,H5,750.0,1897.0,33.6,130.43333
High Possil,11884,L6,4500.0,1804.0,55.9,-4.2333300000000005
Hiroshima,11889,H5,414.0,2003.0,34.45,132.38333
Hoima,44714,H6,167.7,2003.0,1.345,31.47278
Hökmark,11893,L4,305.5,1954.0,64.43333,21.2
Holbrook,11894,L/LL6,220000.0,1912.0,34.9,-110.18333
Holetta,11895,Stone-uncl,1415.0,1923.0,9.06667,38.41667
Homestead,11901,L5,230000.0,1875.0,41.8,-91.86667
Honolulu,11904,L5,2420.0,1825.0,21.3,-157.86667
Hotse,11913,L6,180.0,1956.0,35.66667,115.5
Hoxie,11915,OC,266.1,1963.0,39.35,-100.45
Hraschina,11916,"Iron, IID",49000.0,1751.0,46.1,16.33333
Huaxi,54719,H5,1600.0,2010.0,26.46469,106.63241000000001
Hungen,11986,H6,112.0,1877.0,50.3,8.91667
Hvittis,11989,EL6,14000.0,1901.0,61.183330000000005,22.683329999999998
Ibbenbüren,11992,Diogenite,2000.0,1870.0,52.28333,7.7
Ibitira,11993,Eucrite-mmict,2500.0,1957.0,-20.0,-45.0
Ichkala,11995,H6,3973.0,1936.0,58.2,82.93333
Idutywa,12000,H5,3457.0,1956.0,-32.1,28.33333
Iguaracu,12003,H5,1200.0,1977.0,-23.2,-51.83333
Ijopega,12004,H6,7330.0,1975.0,-6.03333,145.36667
Indarch,12027,EH4,27000.0,1891.0,39.75,46.66667
Independence,12028,L6,880.0,1917.0,39.08333,-94.4
Inner Mongolia,12037,L6,3000.0,1963.0,41.0,112.0
Innisfree,12039,L5,4576.0,1977.0,53.415,-111.3375
Ipiranga,12043,H6,7000.0,1972.0,-25.5,-54.5
Ishinga,12049,H,1300.0,1954.0,-8.93333,33.8
Isthilart,12053,H5,3050.0,1928.0,-31.183329999999998,-57.95
Itapicuru-Mirim,12056,H5,2024.0,1879.0,-3.4,-44.33333
Itqiy,12058,EH7-an,4720.0,1990.0,26.59083,-12.952169999999999
Ivuna,12063,CI1,704.5,1938.0,-8.41667,32.43333
Jackalsfontein,12065,L6,48000.0,1903.0,-32.5,21.9
Jajh deh Kot Lalu,12067,EL6,973.0,1926.0,26.75,68.41667
Jalandhar,12069,Iron,1967.0,1621.0,31.0,75.0
Jartai,12074,L6,20500.0,1979.0,39.7,105.8
Jelica,12078,LL6,34000.0,1889.0,43.83333,20.441670000000002
Jesenice,51589,L6,3667.0,2009.0,46.42137,14.052170000000002
Jhung,12085,L5,5900.0,1873.0,31.3,72.38333
Jiange,12086,H5,222.0,1964.0,31.91667,104.91667
Jianshi,12087,"Iron, IIIAB",600000.0,1890.0,30.808329999999998,109.5
Jilin,12171,H5,4000000.0,1976.0,44.05,126.16667
Jodiya,47362,L5,100.0,2006.0,22.68,70.31333000000001
Johnstown,12198,Diogenite,40300.0,1924.0,40.35,-104.9
Jolomba,12199,LL6,483.0,1974.0,-11.85,15.833329999999998
Jonzac,12202,Eucrite-mmict,5000.0,1819.0,45.43333,-0.45
Juancheng,12203,H5,100000.0,1997.0,35.5,115.41667
Judesegeri,12207,H6,680.0,1876.0,12.85,76.8
Jumapalo,12209,L6,32490.0,1984.0,-7.71667,111.2
Junan,12210,L6,950.0,1976.0,35.2,118.8
Juromenha,12213,"Iron, IIIAB",25250.0,1968.0,38.74028,-7.27
Juvinas,12214,Eucrite-mmict,91000.0,1821.0,44.71667,4.3
Kaba,12218,CV3,3000.0,1857.0,47.35,21.3
Kabo,12220,H4,13400.0,1971.0,11.85,8.21667
Kaee,12222,H5,230.0,1838.0,27.25,79.96667
Kagarlyk,12227,L6,1900.0,1908.0,49.86667,30.83333
Kaidun,12228,CR2,2000.0,1980.0,15.0,48.3
Kainsaz,12229,CO3.2,200000.0,1937.0,55.433330000000005,53.25
Kakangari,12230,K3,350.0,1890.0,12.38333,78.51666999999999
Kakowa,12231,L6,577.0,1858.0,45.13333,21.66667
Kalaba,12232,H4,950.0,1951.0,-6.83333,29.5
Kalumbi,12236,L6,4500.0,1879.0,17.83333,73.98333000000001
Kamalpur,12238,L6,2770.0,1942.0,26.03333,81.46667
Kamiomi,12240,H5,448.0,1913.0,36.04167,139.95667
Kamsagar,12241,L6,1293.0,1902.0,14.183329999999998,75.8
Kandahar (Afghanistan),12243,L6,299.0,1959.0,31.6,65.78333
Kangean,12245,H5,1630.0,1908.0,-7.0,115.5
Kangra Valley,12246,H5,400.0,1897.0,32.08333,76.3
Kapoeta,12251,Howardite,11355.0,1942.0,4.7,33.63333
Kaprada,47357,L5/6,1600.0,2004.0,20.33916,73.22329
Kaptal-Aryk,12253,L6,3500.0,1937.0,42.45,73.36667
Karakol,12256,LL6,3000.0,1840.0,47.21667,81.01666999999999
Karatu,12258,LL6,2220.0,1963.0,-3.5,35.58333
Karewar,12260,L6,180.0,1949.0,12.9,7.15
Karkh,12262,L6,22000.0,1905.0,27.8,67.16667
Karloowala,12263,L6,2950.0,1955.0,31.58333,71.6
Karoonda,12264,CK4,41730.0,1930.0,-35.08333,139.91666999999998
Kasamatsu,12266,H,710.0,1938.0,35.36667,136.76667
Kasauli,30740,H4,16820.0,2003.0,29.58333,77.58333
Katagum,35465,L6,1500.0,1999.0,11.33333,10.08333
